average_value,month,year
-0.3406680173259716,5,2018
-0.10512359375255963,7,2018
-0.05315068493150686,12,2018
0.07211391919277813,9,2019
-0.275466927758117,3,2018
-0.01966240205709813,10,2019
-0.06637233670088855,12,2018
0.09312499999999999,9,2018
-0.046388730961192656,6,2019
-0.0671214967236138,1,2018
-0.14711111111111108,8,2019
0.1827027027027027,1,2019
-0.13875379582583025,10,2019
0.049886363636363645,8,2019
-0.08514918646138753,6,2018
-0.2137212508516584,4,2019
-0.007127659574468086,11,2019
-0.10502392944870573,2,2019
-0.06294823756135008,12,2018
0.04704918032786884,1,2019
-0.05093448248067078,12,2018
-0.1722448979591837,7,2020
-0.0007246376811594322,12,2018
-0.03640449438202247,8,2019
-0.11783783783783783,10,2019
-0.23745557527937214,9,2021
-0.23877528343067694,1,2018
0.04086956521739133,12,2019
-0.20857874385240135,3,2018
-0.15775,2,2019
-0.02381895633925513,10,2019
0.0116176470588235,11,2019
-0.1629530113238615,3,2019
-0.03411764705882356,5,2020
0.07308868344959757,1,2018
-0.00417054723463853,7,2018
-0.12515625,8,2018
-0.00890909090909093,5,2018
-0.04344741592209599,4,2018
0.03384615384615386,2,2018
-0.2046992539901811,5,2020
0.14944444444444438,3,2018
-0.03820585387248245,2,2019
-0.1499656758970225,10,2019
0.1325948876531844,7,2019
-0.15825493921476558,12,2017
0.008620689655172415,5,2020
-0.08023809523809525,9,2018
-0.04781818181818185,4,2018
0.0288679245283019,4,2018
-0.04979999999999997,1,2018
-0.21912280701754386,6,2021
0.01623188405797102,10,2018
-0.14,6,2018
-0.15478003466711754,3,2019
0.010493251747384625,7,2019
-0.16219420653039737,1,2018
0.02907692307692306,3,2019
-0.10980074911825047,8,2019
0.07172043010752688,10,2019
0.05114285714285713,11,2018
0.09780219780219779,10,2019
-0.020638297872340425,12,2017
-0.12481018310154102,5,2018
-0.058551976556473505,7,2019
-0.060447516169265275,5,2019
-0.04611832328015623,5,2019
0.0003154001917571672,11,2020
0.007920116221855953,2,2018
-0.23893006229893687,5,2021
-0.3139806046353126,1,2018
-0.01597014925373136,10,2018
0.02978723404255321,10,2018
-0.03138168898368852,2,2019
-0.01206521739130432,10,2019
0.14166666666666666,6,2018
-0.1861359616724658,6,2018
0.09714285714285711,1,2018
0.038444444444444406,12,2019
0.051250000000000004,12,2018
-0.032660236158197624,12,2019
0.07895833333333335,4,2018
-0.06907692307692304,8,2018
-0.2599312111998421,6,2019
-0.02547619047619051,6,2019
0.1123529411764706,7,2019
0.009268292682926827,5,2019
0.03385714285714284,11,2018
-0.050645161290322586,7,2018
-0.022033898305084766,7,2018
-0.051057663899777464,12,2018
-0.13823529411764704,10,2018
-0.09622641509433959,6,2018
0.0001724137931034446,1,2020
-0.010188679245283024,5,2018
-0.0530596963339183,2,2019
-0.14282267564012227,12,2019
-0.3930159142416682,10,2018
-0.09819091069923443,4,2019
-0.2624885718338443,12,2017
0.07849056603773584,3,2018
-0.013413409166934806,12,2018
-0.05326530612244899,12,2017
-0.13238805970149256,10,2018
-0.23604827069674159,4,2018
-0.16023225984770323,2,2018
0.0669767441860465,7,2021
0.029354838709677412,7,2018
0.14181953896008284,5,2019
-0.011543970667470474,10,2018
-0.2689994580541153,4,2021
-0.03723512132954073,11,2018
-0.07207567839982076,5,2018
0.020937499999999984,8,2018
-0.08500916654263635,5,2018
0.024814814814814807,4,2018
-0.15074074074074076,3,2018
-0.028362841994652787,4,2019
-0.03766233766233768,3,2019
-0.18641791044776118,10,2018
-6.4952214736604e-06,3,2020
-0.03131147540983608,7,2018
-0.29998381503818844,7,2018
-0.1593103448275862,10,2019
-0.06352831508242074,6,2019
-0.04162162162162163,1,2019
-0.03157894736842107,5,2018
-0.18767857142857142,6,2021
0.058333333333333334,3,2020
-0.13895833333333332,1,2018
0.0992391304347826,10,2019
-0.12410540948909916,7,2019
-0.031186440677966096,6,2018
0.010322580645161282,1,2020
-0.10957321013597136,12,2017
-0.017972144499936216,6,2019
-0.17925923682873898,3,2018
-0.17882352941176471,8,2021
-0.04095696561714186,6,2018
-0.149172538576222,7,2018
-0.212341530202266,7,2018
-0.051828133878305316,3,2018
0.059718309859154946,7,2020
-0.25629114149161,6,2018
-0.060315889936204216,9,2019
-0.26364452871206384,4,2018
-0.023414265708456807,12,2018
0.041132075471698136,7,2019
0.005762711864406729,6,2018
0.022476755663041366,12,2019
-0.07868852459016393,7,2018
-0.10652696539285664,12,2018
-0.016901408450704227,12,2018
-0.061825496995653186,11,2018
-0.07931032598017443,7,2020
0.14533333333333331,1,2019
-0.23680928029678347,4,2018
-0.21253739697448865,10,2019
0.025714285714285752,3,2020
-0.17113207547169815,6,2019
0.006870973225920629,4,2019
-0.0728169014084507,12,2018
-0.02861550169760505,10,2019
-0.011999999999999967,1,2019
-0.0018571428571428294,12,2018
-0.15702403167178072,7,2018
0.047285714285714264,2,2019
-0.0337227328317249,3,2019
-0.07189487722150623,8,2019
0.3033333333333334,9,2018
-0.11066547740239763,8,2018
-0.20468553461963326,8,2018
-0.043207547169811324,12,2019
-0.16957873122052106,4,2018
-0.16041035370908815,10,2019
0.23265306122448984,12,2018
0.02672727272727273,8,2019
-0.05592537632924325,1,2021
-0.3427967086346596,4,2020
0.025094339622641536,7,2021
-0.1731725143984787,11,2018
-0.1609090909090909,4,2018
-0.2578823941720189,4,2018
-0.03271786461790809,10,2019
-0.09724252481353357,8,2019
-0.0005357142857143218,2,2020
0.11548780487804881,6,2019
0.11545454545454543,8,2019
-0.08483454203325139,12,2018
-0.08244820812526495,5,2020
-0.19930722061219225,11,2018
-0.013940676449757826,12,2019
-0.14639533388925982,12,2017
-0.02378072822651988,5,2018
-0.107988437082186,5,2019
0.056718750000000005,11,2020
0.02381578947368419,2,2019
0.1754,1,2018
-0.06192360159704589,3,2019
-0.12701146823554324,9,2019
-0.010425531914893614,5,2019
-0.03460623819343308,5,2019
-0.0757253992373015,8,2019
-0.022884615384615392,2,2018
-0.053385111978186,1,2019
-0.03822222222222225,10,2019
-0.1438,1,2018
-0.10567693106757675,1,2019
-0.011132075471698123,4,2018
0.047252747252747244,12,2019
-0.15865924407227613,6,2018
-0.21112203173378252,6,2018
-0.16264684164559132,8,2018
-0.0466,5,2018
-0.0036709191646083707,8,2019
-0.127487085751285,5,2018
-0.019531240136526754,3,2019
-0.12276630257342361,10,2018
0.08450000000000003,9,2019
-0.20743673846822802,6,2018
-0.008936543433403086,7,2018
-0.07566666666666667,4,2019
0.05945205479452057,5,2019
-0.0627450980392157,4,2018
0.01576995080996495,8,2018
-0.11879120879120877,10,2019
-0.03735849056603774,1,2021
-0.022666666666666675,4,2021
-0.06773306386602994,8,2018
-0.05357142857142859,11,2018
0.04023719606782455,5,2019
-0.01524999999999998,9,2018
-0.08735849056603776,3,2018
0.04224489795918368,1,2018
0.11537037037037041,3,2018
0.034459459459459454,1,2019
-0.10975622609275622,3,2019
0.06095238095238095,6,2019
-0.07408790720123114,5,2018
-0.13022288793903775,6,2018
-0.10080439016529617,8,2018
-0.06033898305084744,7,2018
-0.2967449010208596,1,2018
-0.14784450655393674,5,2019
-0.03619047619047618,10,2021
0.022931034482758603,2,2019
-0.006078431372549031,1,2018
-0.06787314754639984,11,2018
-0.1486945354229246,10,2018
-0.2639248070854607,4,2018
-0.2927689574522843,2,2018
-0.04146666666666667,1,2019
-0.22345679012345682,6,2019
0.08134615384615382,2,2018
-0.1071313143501395,12,2019
-0.0025974025974026013,6,2019
-0.02466666666666666,9,2019
-0.4499409276825883,12,2019
-0.10588768265663853,3,2020
-0.1697172079328947,8,2019
-0.039687499999999966,12,2019
-0.03414634146341463,10,2019
-0.1434491537072974,5,2018
0.11219178082191783,12,2018
-0.009722222222222212,12,2018
-0.35536183670907073,10,2021
0.05198392134608846,4,2019
-0.18323671734142055,12,2018
-0.07324999999999998,12,2021
-0.06855263157894739,3,2019
-0.06853572301874128,12,2019
0.06571428571428574,4,2018
-0.03037017270370052,7,2019
-0.19075490202597029,3,2018
0.06145454545454546,4,2018
0.03628571428571426,11,2018
0.10829268292682925,7,2021
